"","x","y","Fir","Maple","Buckeye","Other.hardwood","Alder","Birch","Ironwood","Hickory","Hackberry","Cedar.juniper","Dogwood","Beech","Ash","Walnut","Tamarack","Tulip.poplar","Spruce","Pine","Sycamore","Poplar","Cherry","Oak","Willow","Basswood","Hemlock","Elm"
"112",117000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04815832522,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"113",125000,1398000,74.3545118931715,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",133000,1398000,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,200.757182111563,NA,64.440576974082,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"115",141000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.579926164977,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"116",149000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,96.6608654611229,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",157000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,29.7418047572686,NA,NA,208.19263330088,NA,NA,NA,NA,NA,NA
"118",165000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,133.838121407709,NA,NA,NA,NA,297.418047572686,NA,NA,NA,NA,NA,NA
"119",173000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,178.450828543612,NA,NA,NA,NA,NA,NA
"120",181000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,252.805340436783,NA,NA,NA,NA,NA,NA
"121",189000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.934438058149,NA,NA,NA,NA,NA,NA
"122",197000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,14.8709023786343,NA,89.2254142718058,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"123",205000,1398000,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"124",213000,1398000,44.6127071359029,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.709023786343,NA,NA,NA,NA,NA,NA
"125",13000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,29.7418047572686,NA,NA,NA,14.8709023786343
"126",37000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,NA
"127",45000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.418047572686,NA,NA,NA,NA,NA,NA
"128",53000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,14.8709023786343
"129",77000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,59.4836095145372,NA,NA,NA,NA
